,Artist,Trackname,Date,Artist_Trackname,Streams
114,Avicii,Without You (feat. Sandro Cavazza),2017-12-02,Avicii Without You (feat. Sandro Cavazza),520192
115,Avicii,Without You (feat. Sandro Cavazza),2017-12-03,Avicii Without You (feat. Sandro Cavazza),391289
116,Avicii,Without You (feat. Sandro Cavazza),2017-12-04,Avicii Without You (feat. Sandro Cavazza),498609
117,Avicii,Without You (feat. Sandro Cavazza),2017-12-05,Avicii Without You (feat. Sandro Cavazza),509563
118,Avicii,Without You (feat. Sandro Cavazza),2017-12-06,Avicii Without You (feat. Sandro Cavazza),480831
119,Avicii,Without You (feat. Sandro Cavazza),2017-12-07,Avicii Without You (feat. Sandro Cavazza),451224
120,Avicii,Without You (feat. Sandro Cavazza),2017-12-08,Avicii Without You (feat. Sandro Cavazza),517316
121,Avicii,Without You (feat. Sandro Cavazza),2017-12-09,Avicii Without You (feat. Sandro Cavazza),431848
122,Avicii,Without You (feat. Sandro Cavazza),2017-12-10,Avicii Without You (feat. Sandro Cavazza),360495
123,Avicii,Without You (feat. Sandro Cavazza),2017-12-11,Avicii Without You (feat. Sandro Cavazza),426374
124,Avicii,Without You (feat. Sandro Cavazza),2017-12-12,Avicii Without You (feat. Sandro Cavazza),437496
125,Avicii,Without You (feat. Sandro Cavazza),2017-12-13,Avicii Without You (feat. Sandro Cavazza),437752
126,Avicii,Without You (feat. Sandro Cavazza),2017-12-14,Avicii Without You (feat. Sandro Cavazza),453155
127,Avicii,Without You (feat. Sandro Cavazza),2017-12-15,Avicii Without You (feat. Sandro Cavazza),484496
128,Avicii,Without You (feat. Sandro Cavazza),2017-12-16,Avicii Without You (feat. Sandro Cavazza),425896
129,Avicii,Without You (feat. Sandro Cavazza),2017-12-17,Avicii Without You (feat. Sandro Cavazza),363078
130,Avicii,Without You (feat. Sandro Cavazza),2017-12-18,Avicii Without You (feat. Sandro Cavazza),405658
131,Avicii,Without You (feat. Sandro Cavazza),2017-12-19,Avicii Without You (feat. Sandro Cavazza),410104
132,Avicii,Without You (feat. Sandro Cavazza),2017-12-20,Avicii Without You (feat. Sandro Cavazza),429653
133,Avicii,Without You (feat. Sandro Cavazza),2017-12-21,Avicii Without You (feat. Sandro Cavazza),436009
134,Avicii,Without You (feat. Sandro Cavazza),2017-12-22,Avicii Without You (feat. Sandro Cavazza),423342
135,Avicii,Without You (feat. Sandro Cavazza),2017-12-23,Avicii Without You (feat. Sandro Cavazza),318128
136,Avicii,Without You (feat. Sandro Cavazza),2017-12-24,Avicii Without You (feat. Sandro Cavazza),190425
137,Avicii,Without You (feat. Sandro Cavazza),2017-12-25,Avicii Without You (feat. Sandro Cavazza),159172
138,Avicii,Without You (feat. Sandro Cavazza),2017-12-26,Avicii Without You (feat. Sandro Cavazza),344276
139,Avicii,Without You (feat. Sandro Cavazza),2017-12-27,Avicii Without You (feat. Sandro Cavazza),390246
140,Avicii,Without You (feat. Sandro Cavazza),2017-12-28,Avicii Without You (feat. Sandro Cavazza),402707
141,Avicii,Without You (feat. Sandro Cavazza),2017-12-29,Avicii Without You (feat. Sandro Cavazza),442528
142,Avicii,Without You (feat. Sandro Cavazza),2017-12-30,Avicii Without You (feat. Sandro Cavazza),359578
143,Avicii,Without You (feat. Sandro Cavazza),2017-12-31,Avicii Without You (feat. Sandro Cavazza),668549
144,Axwell /\ Ingrosso,More Than You Know,2017-05-24,Axwell /\ Ingrosso More Than You Know,53876
145,Axwell /\ Ingrosso,More Than You Know,2017-05-25,Axwell /\ Ingrosso More Than You Know,71052
146,Axwell /\ Ingrosso,More Than You Know,2017-05-26,Axwell /\ Ingrosso More Than You Know,313451
147,Axwell /\ Ingrosso,More Than You Know,2017-05-27,Axwell /\ Ingrosso More Than You Know,193572
148,Axwell /\ Ingrosso,More Than You Know,2017-05-28,Axwell /\ Ingrosso More Than You Know,213313
149,Axwell /\ Ingrosso,More Than You Know,2017-05-29,Axwell /\ Ingrosso More Than You Know,292874
150,Axwell /\ Ingrosso,More Than You Know,2017-06-01,Axwell /\ Ingrosso More Than You Know,813991
151,Axwell /\ Ingrosso,More Than You Know,2017-06-03,Axwell /\ Ingrosso More Than You Know,852771
152,Axwell /\ Ingrosso,More Than You Know,2017-06-04,Axwell /\ Ingrosso More Than You Know,753688
153,Axwell /\ Ingrosso,More Than You Know,2017-06-05,Axwell /\ Ingrosso More Than You Know,899150
154,Axwell /\ Ingrosso,More Than You Know,2017-06-06,Axwell /\ Ingrosso More Than You Know,945773
155,Axwell /\ Ingrosso,More Than You Know,2017-06-07,Axwell /\ Ingrosso More Than You Know,972740
156,Axwell /\ Ingrosso,More Than You Know,2017-06-08,Axwell /\ Ingrosso More Than You Know,985495
157,Axwell /\ Ingrosso,More Than You Know,2017-06-09,Axwell /\ Ingrosso More Than You Know,1046346
158,Axwell /\ Ingrosso,More Than You Know,2017-06-10,Axwell /\ Ingrosso More Than You Know,1074104
159,Axwell /\ Ingrosso,More Than You Know,2017-06-11,Axwell /\ Ingrosso More Than You Know,946029
160,Axwell /\ Ingrosso,More Than You Know,2017-06-12,Axwell /\ Ingrosso More Than You Know,1114594
161,Axwell /\ Ingrosso,More Than You Know,2017-06-13,Axwell /\ Ingrosso More Than You Know,1171813
162,Axwell /\ Ingrosso,More Than You Know,2017-06-14,Axwell /\ Ingrosso More Than You Know,1384708
163,Axwell /\ Ingrosso,More Than You Know,2017-06-15,Axwell /\ Ingrosso More Than You Know,1472581
164,Axwell /\ Ingrosso,More Than You Know,2017-06-16,Axwell /\ Ingrosso More Than You Know,1549835
165,Axwell /\ Ingrosso,More Than You Know,2017-06-17,Axwell /\ Ingrosso More Than You Know,1552528
166,Axwell /\ Ingrosso,More Than You Know,2017-06-18,Axwell /\ Ingrosso More Than You Know,1377125
167,Axwell /\ Ingrosso,More Than You Know,2017-06-19,Axwell /\ Ingrosso More Than You Know,1618695
168,Axwell /\ Ingrosso,More Than You Know,2017-06-20,Axwell /\ Ingrosso More Than You Know,1728848
169,Axwell /\ Ingrosso,More Than You Know,2017-06-21,Axwell /\ Ingrosso More Than You Know,1791440
170,Axwell /\ Ingrosso,More Than You Know,2017-06-22,Axwell /\ Ingrosso More Than You Know,1814666
171,Axwell /\ Ingrosso,More Than You Know,2017-06-23,Axwell /\ Ingrosso More Than You Know,1932457
172,Axwell /\ Ingrosso,More Than You Know,2017-06-24,Axwell /\ Ingrosso More Than You Know,1678508
173,Axwell /\ Ingrosso,More Than You Know,2017-06-25,Axwell /\ Ingrosso More Than You Know,1478735
174,Axwell /\ Ingrosso,More Than You Know,2017-06-26,Axwell /\ Ingrosso More Than You Know,1824948
175,Axwell /\ Ingrosso,More Than You Know,2017-06-27,Axwell /\ Ingrosso More Than You Know,1828293
176,Axwell /\ Ingrosso,More Than You Know,2017-06-28,Axwell /\ Ingrosso More Than You Know,1856058
177,Axwell /\ Ingrosso,More Than You Know,2017-06-29,Axwell /\ Ingrosso More Than You Know,1917395
178,Axwell /\ Ingrosso,More Than You Know,2017-06-30,Axwell /\ Ingrosso More Than You Know,1997166
179,Axwell /\ Ingrosso,More Than You Know,2017-07-01,Axwell /\ Ingrosso More Than You Know,1905509
180,Axwell /\ Ingrosso,More Than You Know,2017-07-02,Axwell /\ Ingrosso More Than You Know,1605429
181,Axwell /\ Ingrosso,More Than You Know,2017-07-03,Axwell /\ Ingrosso More Than You Know,1859815
182,Axwell /\ Ingrosso,More Than You Know,2017-07-04,Axwell /\ Ingrosso More Than You Know,1993377
183,Axwell /\ Ingrosso,More Than You Know,2017-07-05,Axwell /\ Ingrosso More Than You Know,2038479
184,Axwell /\ Ingrosso,More Than You Know,2017-07-06,Axwell /\ Ingrosso More Than You Know,2066968
185,Axwell /\ Ingrosso,More Than You Know,2017-07-07,Axwell /\ Ingrosso More Than You Know,2132100
186,Axwell /\ Ingrosso,More Than You Know,2017-07-08,Axwell /\ Ingrosso More Than You Know,2051850
187,Axwell /\ Ingrosso,More Than You Know,2017-07-09,Axwell /\ Ingrosso More Than You Know,1786951
188,Axwell /\ Ingrosso,More Than You Know,2017-07-10,Axwell /\ Ingrosso More Than You Know,2078183
189,Axwell /\ Ingrosso,More Than You Know,2017-07-11,Axwell /\ Ingrosso More Than You Know,2110030
190,Axwell /\ Ingrosso,More Than You Know,2017-07-12,Axwell /\ Ingrosso More Than You Know,2088821
191,Axwell /\ Ingrosso,More Than You Know,2017-07-13,Axwell /\ Ingrosso More Than You Know,2117612
192,Axwell /\ Ingrosso,More Than You Know,2017-07-14,Axwell /\ Ingrosso More Than You Know,2185778
193,Axwell /\ Ingrosso,More Than You Know,2017-07-15,Axwell /\ Ingrosso More Than You Know,2066569
194,Axwell /\ Ingrosso,More Than You Know,2017-07-16,Axwell /\ Ingrosso More Than You Know,1733229
195,Axwell /\ Ingrosso,More Than You Know,2017-07-17,Axwell /\ Ingrosso More Than You Know,2044752
196,Axwell /\ Ingrosso,More Than You Know,2017-07-18,Axwell /\ Ingrosso More Than You Know,2126202
197,Axwell /\ Ingrosso,More Than You Know,2017-07-19,Axwell /\ Ingrosso More Than You Know,2106113
198,Axwell /\ Ingrosso,More Than You Know,2017-07-20,Axwell /\ Ingrosso More Than You Know,2085919
199,Axwell /\ Ingrosso,More Than You Know,2017-07-21,Axwell /\ Ingrosso More Than You Know,2141912
200,Axwell /\ Ingrosso,More Than You Know,2017-07-22,Axwell /\ Ingrosso More Than You Know,2103323
201,Axwell /\ Ingrosso,More Than You Know,2017-07-23,Axwell /\ Ingrosso More Than You Know,1794059
202,Axwell /\ Ingrosso,More Than You Know,2017-07-24,Axwell /\ Ingrosso More Than You Know,2116998
203,Axwell /\ Ingrosso,More Than You Know,2017-07-25,Axwell /\ Ingrosso More Than You Know,2182001
204,Axwell /\ Ingrosso,More Than You Know,2017-07-26,Axwell /\ Ingrosso More Than You Know,2168215
205,Axwell /\ Ingrosso,More Than You Know,2017-07-27,Axwell /\ Ingrosso More Than You Know,2167017
206,Axwell /\ Ingrosso,More Than You Know,2017-07-28,Axwell /\ Ingrosso More Than You Know,2316335
207,Axwell /\ Ingrosso,More Than You Know,2017-07-29,Axwell /\ Ingrosso More Than You Know,2227329
208,Axwell /\ Ingrosso,More Than You Know,2017-07-30,Axwell /\ Ingrosso More Than You Know,2000526
209,Axwell /\ Ingrosso,More Than You Know,2017-07-31,Axwell /\ Ingrosso More Than You Know,2296398
210,Axwell /\ Ingrosso,More Than You Know,2017-08-01,Axwell /\ Ingrosso More Than You Know,2330561
211,Axwell /\ Ingrosso,More Than You Know,2017-08-02,Axwell /\ Ingrosso More Than You Know,2285673
212,Axwell /\ Ingrosso,More Than You Know,2017-08-03,Axwell /\ Ingrosso More Than You Know,2271874
213,Axwell /\ Ingrosso,More Than You Know,2017-08-04,Axwell /\ Ingrosso More Than You Know,2424400
214,Axwell /\ Ingrosso,More Than You Know,2017-08-05,Axwell /\ Ingrosso More Than You Know,2323706
215,Axwell /\ Ingrosso,More Than You Know,2017-08-06,Axwell /\ Ingrosso More Than You Know,1995963
216,Axwell /\ Ingrosso,More Than You Know,2017-08-07,Axwell /\ Ingrosso More Than You Know,2275310
217,Axwell /\ Ingrosso,More Than You Know,2017-08-08,Axwell /\ Ingrosso More Than You Know,2310230
218,Axwell /\ Ingrosso,More Than You Know,2017-08-09,Axwell /\ Ingrosso More Than You Know,2299961
219,Axwell /\ Ingrosso,More Than You Know,2017-08-10,Axwell /\ Ingrosso More Than You Know,2303615
220,Axwell /\ Ingrosso,More Than You Know,2017-08-11,Axwell /\ Ingrosso More Than You Know,2448375
221,Axwell /\ Ingrosso,More Than You Know,2017-08-12,Axwell /\ Ingrosso More Than You Know,2312720
222,Axwell /\ Ingrosso,More Than You Know,2017-08-13,Axwell /\ Ingrosso More Than You Know,2003861
223,Axwell /\ Ingrosso,More Than You Know,2017-08-14,Axwell /\ Ingrosso More Than You Know,2318970
224,Axwell /\ Ingrosso,More Than You Know,2017-08-15,Axwell /\ Ingrosso More Than You Know,2314963
225,Axwell /\ Ingrosso,More Than You Know,2017-08-16,Axwell /\ Ingrosso More Than You Know,2316744
226,Axwell /\ Ingrosso,More Than You Know,2017-08-17,Axwell /\ Ingrosso More Than You Know,2335091
227,Axwell /\ Ingrosso,More Than You Know,2017-08-18,Axwell /\ Ingrosso More Than You Know,2456944
228,Axwell /\ Ingrosso,More Than You Know,2017-08-19,Axwell /\ Ingrosso More Than You Know,2385343
229,Axwell /\ Ingrosso,More Than You Know,2017-08-20,Axwell /\ Ingrosso More Than You Know,2076422
230,Axwell /\ Ingrosso,More Than You Know,2017-08-21,Axwell /\ Ingrosso More Than You Know,2285485
231,Axwell /\ Ingrosso,More Than You Know,2017-08-22,Axwell /\ Ingrosso More Than You Know,2372489
232,Axwell /\ Ingrosso,More Than You Know,2017-08-23,Axwell /\ Ingrosso More Than You Know,2350889
233,Axwell /\ Ingrosso,More Than You Know,2017-08-24,Axwell /\ Ingrosso More Than You Know,2347681
234,Axwell /\ Ingrosso,More Than You Know,2017-08-25,Axwell /\ Ingrosso More Than You Know,2517670
235,Axwell /\ Ingrosso,More Than You Know,2017-08-26,Axwell /\ Ingrosso More Than You Know,2421934
236,Axwell /\ Ingrosso,More Than You Know,2017-08-27,Axwell /\ Ingrosso More Than You Know,2003021
237,Axwell /\ Ingrosso,More Than You Know,2017-08-28,Axwell /\ Ingrosso More Than You Know,2256820
238,Axwell /\ Ingrosso,More Than You Know,2017-08-29,Axwell /\ Ingrosso More Than You Know,2365190
239,Axwell /\ Ingrosso,More Than You Know,2017-08-30,Axwell /\ Ingrosso More Than You Know,2310931
240,Axwell /\ Ingrosso,More Than You Know,2017-08-31,Axwell /\ Ingrosso More Than You Know,2317313
241,Axwell /\ Ingrosso,More Than You Know,2017-09-01,Axwell /\ Ingrosso More Than You Know,2496823
242,Axwell /\ Ingrosso,More Than You Know,2017-09-02,Axwell /\ Ingrosso More Than You Know,2361171
243,Axwell /\ Ingrosso,More Than You Know,2017-09-03,Axwell /\ Ingrosso More Than You Know,2002042
244,Axwell /\ Ingrosso,More Than You Know,2017-09-04,Axwell /\ Ingrosso More Than You Know,2210035
245,Axwell /\ Ingrosso,More Than You Know,2017-09-05,Axwell /\ Ingrosso More Than You Know,2255612
246,Axwell /\ Ingrosso,More Than You Know,2017-09-06,Axwell /\ Ingrosso More Than You Know,2226773
247,Axwell /\ Ingrosso,More Than You Know,2017-09-07,Axwell /\ Ingrosso More Than You Know,2244173
248,Axwell /\ Ingrosso,More Than You Know,2017-09-08,Axwell /\ Ingrosso More Than You Know,2358551
249,Axwell /\ Ingrosso,More Than You Know,2017-09-09,Axwell /\ Ingrosso More Than You Know,2212233
250,Axwell /\ Ingrosso,More Than You Know,2017-09-10,Axwell /\ Ingrosso More Than You Know,1883921
251,Axwell /\ Ingrosso,More Than You Know,2017-09-11,Axwell /\ Ingrosso More Than You Know,2074126
252,Axwell /\ Ingrosso,More Than You Know,2017-09-12,Axwell /\ Ingrosso More Than You Know,2119016
